start_time,end_time,delta,elapsed_time,message_size,sending,from,to,num_peers
1721057785.9638486,1721057786.0176506,5,0.0538020133972168,5831,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057786.0257335,1721057786.0287323, ,0.002998828887939453,5123,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057791.0196843,1721057791.0487332,5,0.029048919677734375,10890,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057791.0635016,1721057791.068504, ,0.005002498626708984,10904,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057796.0498505,1721057796.1044962,5,0.05464577674865723,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057796.1081674,1721057796.1107495, ,0.002582073211669922,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057801.1065958,1721057801.1457376,5,0.03914189338684082,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057801.152683,1721057801.1566873, ,0.004004240036010742,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057806.1475573,1721057806.1858988,5,0.038341522216796875,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057806.1928988,1721057806.1968617, ,0.003962993621826172,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057811.1869833,1721057811.2213244,5,0.03434109687805176,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057811.237003,1721057811.237003, ,0.0,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057816.223263,1721057816.2733448,5,0.050081729888916016,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057816.28186,1721057816.3240633, ,0.04220318794250488,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057821.2749343,1721057821.3596342,5,0.08469986915588379,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057821.3647828,1721057821.3647828, ,0.0,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057826.360958,1721057826.4029942,5,0.04203605651855469,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057826.408147,1721057826.409148, ,0.0010008811950683594,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057831.4046009,1721057831.434147,5,0.029546022415161133,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057831.4404466,1721057831.4459555, ,0.005508899688720703,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
1721057836.4352233,1721057836.4744155,5,0.03919219970703125,10976,True,80.57.135.211:8090,80.57.135.211:8191,1
1721057836.4844203,1721057836.4844203, ,0.0,11010,False,80.57.135.211:8091,80.57.135.211:8090,1
